           N_waters_with_contacts
2cht.00001                    5.0
2cht.00002                    5.0
2cht.00003                    7.0
2cht.00004                    6.0
2cht.00005                    5.0
2cht.00006                    6.0
2cht.00007                    6.0
2cht.00008                    6.0
2cht.00009                    5.0
2cht.00010                    6.0
2cht.00011                    5.0
2cht.00012                    6.0
2cht.00013                    5.0
2cht.00014                    6.0
2cht.00015                    5.0
2cht.00016                    5.0
2cht.00017                    5.0
2cht.00018                    5.0
2cht.00019                    6.0
2cht.00020                    5.0
2cht.00021                    5.0
2cht.00022                    6.0
2cht.00023                    5.0
2cht.00024                    8.0
2cht.00025                    8.0
2cht.00026                    7.0
2cht.00027                    8.0
2cht.00028                    6.0
2cht.00029                    6.0
2cht.00030                    7.0
2cht.00031                    6.0
2cht.00032                    5.0
2cht.00033                    7.0
2cht.00034                    6.0
2cht.00035                    6.0
2cht.00036                    6.0
2cht.00037                    8.0
2cht.00038                    7.0
2cht.00039                    7.0
2cht.00040                    8.0
2cht.00041                    6.0
2cht.00042                    7.0
2cht.00043                    8.0
2cht.00044                    7.0
2cht.00045                    6.0
2cht.00046                    7.0
2cht.00047                    7.0
2cht.00048                    7.0
2cht.00049                    6.0
2cht.00050                    7.0
2cht.00051                    6.0
2cht.00052                    6.0
2cht.00053                    7.0
2cht.00054                    7.0
2cht.00055                    7.0
2cht.00056                    7.0
2cht.00057                    7.0
2cht.00058                    7.0
2cht.00059                    7.0
2cht.00060                    8.0
2cht.00061                    5.0
2cht.00062                    5.0
2cht.00063                    5.0
2cht.00064                    5.0
2cht.00065                    7.0
2cht.00066                    7.0
2cht.00067                    7.0
2cht.00068                    7.0
2cht.00069                    6.0
2cht.00070                    6.0
2cht.00071                    7.0
2cht.00072                    6.0
2cht.00073                    6.0
2cht.00074                    7.0
2cht.00075                    6.0
2cht.00076                    6.0
2cht.00077                    7.0
2cht.00078                    7.0
2cht.00079                    7.0
2cht.00080                    7.0
2cht.00081                    7.0
2cht.00082                    7.0
2cht.00083                    6.0
2cht.00084                    6.0
2cht.00085                    6.0
2cht.00086                    6.0
