           N_waters_with_contacts
2cht.00001                   5.00
2cht.00002                   5.00
2cht.00003                   4.00
2cht.00004                   6.00
2cht.00005                   5.00
2cht.00006                   6.00
2cht.00007                   6.00
2cht.00008                   6.00
2cht.00009                   5.00
2cht.00010                   6.00
2cht.00011                   5.00
2cht.00012                   5.00
2cht.00013                   5.00
2cht.00014                   6.00
2cht.00015                   5.00
2cht.00016                   5.00
2cht.00017                   5.00
2cht.00018                   5.00
2cht.00019                   6.00
2cht.00020                   5.00
2cht.00021                   5.00
2cht.00022                   5.00
2cht.00023                   5.00
2cht.00024                   7.00
2cht.00025                   8.00
2cht.00026                   6.00
2cht.00027                   7.00
2cht.00028                   5.00
2cht.00029                   6.00
2cht.00030                   6.00
2cht.00031                   5.00
2cht.00032                   5.00
2cht.00033                   5.00
2cht.00034                   5.00
2cht.00035                   5.00
2cht.00036                   6.00
2cht.00037                   5.00
2cht.00038                   7.00
2cht.00039                   6.00
2cht.00040                   7.00
2cht.00041                   6.00
2cht.00042                   6.00
2cht.00043                   7.00
2cht.00044                   6.00
2cht.00045                   6.00
2cht.00046                   6.00
2cht.00047                   6.00
2cht.00048                   6.00
2cht.00049                   5.00
2cht.00050                   6.00
2cht.00051                   6.00
2cht.00052                   6.00
2cht.00053                   5.00
2cht.00054                   6.00
2cht.00055                   6.00
2cht.00056                   7.00
2cht.00057                   5.00
2cht.00058                   6.00
2cht.00059                   7.00
2cht.00060                   6.00
2cht.00061                   4.00
2cht.00062                   5.00
2cht.00063                   4.00
2cht.00064                   5.00
2cht.00065                   7.00
2cht.00066                   6.00
2cht.00067                   6.00
2cht.00068                   6.00
2cht.00069                   6.00
2cht.00070                   5.00
2cht.00071                   6.00
2cht.00072                   6.00
2cht.00073                   6.00
2cht.00074                   5.00
2cht.00075                   5.00
2cht.00076                   6.00
2cht.00077                   6.00
2cht.00078                   7.00
2cht.00079                   6.00
2cht.00080                   7.00
2cht.00081                   6.00
2cht.00082                   6.00
2cht.00083                   5.00
2cht.00084                   6.00
2cht.00085                   6.00
2cht.00086                   5.00
2cht.00087                   6.00
2cht.00088                   6.00
2cht.00089                   7.00
2cht.00090                   7.00
2cht.00091                   7.00
2cht.00092                   7.00
2cht.00093                   8.00
2cht.00094                   7.00
2cht.00095                   7.00
2cht.00096                   7.00
2cht.00097                   7.00
2cht.00098                   7.00
2cht.00099                   6.00
2cht.00100                   6.00
2cht.00101                   5.00
2cht.00102                   5.00
2cht.00103                   7.00
2cht.00104                   6.00
2cht.00105                   7.00
2cht.00106                   6.00
2cht.00107                   6.00
2cht.00108                   6.00
2cht.00109                   6.00
2cht.00110                   6.00
2cht.00111                   6.00
2cht.00112                   6.00
2cht.00113                   6.00
2cht.00114                   6.00
2cht.00115                   7.00
2cht.00116                   7.00
2cht.00117                   6.00
2cht.00118                   6.00
2cht.00119                   6.00
2cht.00120                   6.00
2cht.00121                   6.00
2cht.00122                   8.00
2cht.00123                   6.00
2cht.00124                   6.00
2cht.00125                   7.00
2cht.00126                   6.00
2cht.00127                   6.00
2cht.00128                   6.00
2cht.00129                   6.00
2cht.00130                   6.00
2cht.00131                   7.00
2cht.00132                   7.00
2cht.00133                   6.00
2cht.00134                   8.00
2cht.00135                   7.00
2cht.00136                   6.00
2cht.00137                   7.00
2cht.00138                   6.00
2cht.00139                   7.00
2cht.00140                   8.00
2cht.00141                   8.00
2cht.00142                   8.00
2cht.00143                   6.00
2cht.00144                   7.00
2cht.00145                   8.00
2cht.00146                   7.00
2cht.00147                   7.00
2cht.00148                   8.00
2cht.00149                   7.00
2cht.00150                   8.00
2cht.00151                   7.00
2cht.00152                   7.00
2cht.00153                   7.00
2cht.00154                   8.00
2cht.00155                   8.00
2cht.00156                   9.00
2cht.00157                   7.00
2cht.00158                   7.00
2cht.00159                   7.00
2cht.00160                   8.00
2cht.00161                   7.00
2cht.00162                   8.00
2cht.00163                   7.00
2cht.00164                   7.00
2cht.00165                   7.00
2cht.00166                   6.00
2cht.00167                   9.00
2cht.00168                   8.00
2cht.00169                   8.00
2cht.00170                   8.00
2cht.00171                   7.00
2cht.00172                   8.00
2cht.00173                   8.00
2cht.00174                   9.00
2cht.00175                   9.00
2cht.00176                   7.00
2cht.00177                   8.00
2cht.00178                   8.00
2cht.00179                   8.00
2cht.00180                   8.00
2cht.00181                   7.00
2cht.00182                   7.00
2cht.00183                   6.00
2cht.00184                   7.00
2cht.00185                   7.00
2cht.00186                   7.00
2cht.00187                   6.00
2cht.00188                   6.00
2cht.00189                   8.00
2cht.00190                   7.00
2cht.00191                   8.00
2cht.00192                   7.00
2cht.00193                   7.00
2cht.00194                   7.00
2cht.00195                   7.00
2cht.00196                   7.00
2cht.00197                   8.00
2cht.00198                   6.00
2cht.00199                   7.00
2cht.00200                   8.00
2cht.00201                   8.00
2cht.00202                   8.00
2cht.00203                   7.00
2cht.00204                   7.00
2cht.00205                   8.00
2cht.00206                   9.00
2cht.00207                   9.00
2cht.00208                   8.00
2cht.00209                   9.00
2cht.00210                   7.00
2cht.00211                   8.00
2cht.00212                   7.00
2cht.00213                   7.00
2cht.00214                   6.00
2cht.00215                   7.00
2cht.00216                   7.00
2cht.00217                   7.00
2cht.00218                   7.00
2cht.00219                   8.00
2cht.00220                   7.00
2cht.00221                   7.00
2cht.00222                   7.00
2cht.00223                   8.00
2cht.00224                   7.00
2cht.00225                   6.00
2cht.00226                   6.00
2cht.00227                   5.00
2cht.00228                   5.00
2cht.00229                   5.00
2cht.00230                   6.00
2cht.00231                   5.00
2cht.00232                   7.00
2cht.00233                   6.00
2cht.00234                   6.00
2cht.00235                   6.00
2cht.00236                   6.00
2cht.00237                   5.00
2cht.00238                   8.00
2cht.00239                  10.00
2cht.00240                   8.00
2cht.00241                   7.00
2cht.00242                   9.00
2cht.00243                   8.00
2cht.00244                   8.00
2cht.00245                   7.00
2cht.00246                   8.00
2cht.00247                   7.00
2cht.00248                   7.00
2cht.00249                   7.00
2cht.00250                   8.00
2cht.00251                   8.00
2cht.00252                   8.00
2cht.00253                   7.00
2cht.00254                   7.00
2cht.00255                   8.00
2cht.00256                   8.00
2cht.00257                   6.00
2cht.00258                   8.00
2cht.00259                   7.00
2cht.00260                   8.00
2cht.00261                   7.00
2cht.00262                   7.00
2cht.00263                   8.00
2cht.00264                   7.00
2cht.00265                   8.00
2cht.00266                   7.00
2cht.00267                   9.00
2cht.00268                   9.00
2cht.00269                  10.00
2cht.00270                   8.00
2cht.00271                   7.00
2cht.00272                   7.00
2cht.00273                   8.00
2cht.00274                   7.00
2cht.00275                   6.00
2cht.00276                   7.00
2cht.00277                   7.00
2cht.00278                   7.00
2cht.00279                   8.00
2cht.00280                   8.00
2cht.00281                   7.00
2cht.00282                   7.00
2cht.00283                   7.00
2cht.00284                   6.00
2cht.00285                   9.00
2cht.00286                   8.00
2cht.00287                   8.00
2cht.00288                   7.00
2cht.00289                   8.00
2cht.00290                   9.00
2cht.00291                   7.00
2cht.00292                   9.00
2cht.00293                   9.00
2cht.00294                   7.00
2cht.00295                   8.00
2cht.00296                   8.00
2cht.00297                   8.00
2cht.00298                   9.00
2cht.00299                   8.00
2cht.00300                   8.00
2cht.00301                   8.00
2cht.00302                   8.00
2cht.00303                   8.00
2cht.00304                   7.00
2cht.00305                   8.00
2cht.00306                   6.00
2cht.00307                   7.00
2cht.00308                   7.00
2cht.00309                   8.00
2cht.00310                   7.00
2cht.00311                   7.00
2cht.00312                   7.00
2cht.00313                   7.00
2cht.00314                   7.00
2cht.00315                   7.00
2cht.00316                   8.00
2cht.00317                   8.00
2cht.00318                   8.00
2cht.00319                   8.00
2cht.00320                   9.00
2cht.00321                   8.00
2cht.00322                   8.00
2cht.00323                   8.00
2cht.00324                   8.00
2cht.00325                   8.00
2cht.00326                   8.00
2cht.00327                   7.00
2cht.00328                   7.00
2cht.00329                   7.00
2cht.00330                   7.00
2cht.00331                   7.00
2cht.00332                   7.00
2cht.00333                   9.00
2cht.00334                   8.00
2cht.00335                   9.00
2cht.00336                   7.00
2cht.00337                   8.00
2cht.00338                   7.00
2cht.00339                   6.00
2cht.00340                   7.00
2cht.00341                   7.00
2cht.00342                   8.00
2cht.00343                   8.00
2cht.00344                   8.00
2cht.00345                   9.00
2cht.00346                   8.00
2cht.00347                   8.00
2cht.00348                   7.00
2cht.00349                   7.00
2cht.00350                   7.00
2cht.00351                   8.00
2cht.00352                   7.00
2cht.00353                   9.00
2cht.00354                   7.00
2cht.00355                   9.00
2cht.00356                   8.00
2cht.00357                   8.00
2cht.00358                   8.00
2cht.00359                   8.00
2cht.00360                   7.00
2cht.00361                   7.00
2cht.00362                   8.00
2cht.00363                   7.00
2cht.00364                   7.00
2cht.00365                   8.00
2cht.00366                   8.00
2cht.00367                   8.00
2cht.00368                   9.00
2cht.00369                   9.00
2cht.00370                   8.00
2cht.00371                   9.00
2cht.00372                   9.00
2cht.00373                   9.00
2cht.00374                  10.00
2cht.00375                   9.00
2cht.00376                  10.00
2cht.00377                   9.00
2cht.00378                   9.00
2cht.00379                   8.00
2cht.00380                   8.00
2cht.00381                   8.00
2cht.00382                   9.00
2cht.00383                   9.00
2cht.00384                   9.00
2cht.00385                   9.00
2cht.00386                   9.00
2cht.00387                  10.00
2cht.00388                   8.00
2cht.00389                   8.00
2cht.00390                   9.00
2cht.00391                   9.00
2cht.00392                   8.00
2cht.00393                   9.00
